Rk,Player,2021/22,2021/22
297,Paul Millsap,$2.641.691,$2.881.021
297,E'Twaun Moore,$2.641.691,$2.881.021
297,Markieff Morris,$2.641.691,$2.881.021
297,Udonis Haslem,$2.641.691,$2.881.021
297,Dwight Howard,$2.641.691,$2.881.021
297,Trevor Ariza,$2.641.691,$2.881.021
297,Wayne Ellington,$2.641.691,$2.881.021
297,Carmelo Anthony,$2.641.691,$2.881.021
297,Avery Bradley,$2.641.691,$2.881.021
297,Enes Kanter,$2.641.691,$2.881.021
297,Andre Iguodala,$2.641.691,$2.881.021
297,Ed Davis,$2.641.691,$2.881.021
297,James Johnson,$2.641.691,$2.881.021
297,LaMarcus Aldridge,$2.641.691,$2.881.021
311,Grant Williams,$2.617.800,$2.854.966
312,Tyrese Maxey,$2.602.920,$2.838.738
313,Keon Johnson,$2.553.240,$2.784.557
314,Darius Bazley,$2.513.040,$2.740.715
315,Trey Lyles,$2.500.000,$2.726.493
316,Zeke Nnaji,$2.498.760,$2.725.141
317,Isaiah Jackson,$2.451.240,$2.673.316
318,Ty Jerome,$2.412.840,$2.631.437
319,Hassan Whiteside,$2.401.537,$2.619.110
319,Kent Bazemore,$2.401.537,$2.619.110
319,Austin Rivers,$2.401.537,$2.619.110
319,Andre Drummond,$2.401.537,$2.619.110
323,Cody Zeller,$2.389.641,$2.606.136
323,Ben McLemore,$2.389.641,$2.606.136
323,Solomon Hill,$2.389.641,$2.606.136
323,Tony Snell,$2.389.641,$2.606.136
323,Victor Oladipo,$2.389.641,$2.606.136
323,Otto Porter,$2.389.641,$2.606.136
329,Leandro Bolmaro,$2.353.320,$2.566.525
329,Usman Garuba,$2.353.320,$2.566.525
331,Willy Hernangomez,$2.327.220,$2.538.060
332,Edmond Sumner,$2.320.000,$2.530.186
333,Nassir Little,$2.316.240,$2.526.085
334,RJ Hampton,$2.303.040,$2.511.689
335,DeAndre Bembry,$2.271.045,$2.476.795
336,Josh Christopher,$2.259.240,$2.463.921
337,Monta Ellis,$2.245.400,$2.448.827
338,Drew Eubanks,$2.239.820,$2.442.742
339,Elfrid Payton,$2.239.544,$2.442.441
339,Rodney Hood,$2.239.544,$2.442.441
341,Dylan Windler,$2.239.200,$2.442.066
342,Immanuel Quickley,$2.210.640,$2.410.918
343,John Konchar,$2.200.000,$2.399.314
344,Quentin Grimes,$2.168.640,$2.365.113
345,Jordan Poole,$2.161.440,$2.357.261
346,Bol Bol,$2.161.152,$2.356.947
347,Keldon Johnson,$2.145.720,$2.340.117
348,Payton Pritchard,$2.137.440,$2.331.086
349,Jahlil Okafor,$2.130.023,$2.322.997
350,Bones Hyland,$2.096.880,$2.286.852
351,Raul Neto,$2.089.448,$2.278.746
351,Frank Kaminsky,$2.089.448,$2.278.746
351,Nemanja Bjelica,$2.089.448,$2.278.746
354,Udoka Azubuike,$2.075.880,$2.263.949
355,Jaden McDaniels,$2.063.280,$2.250.208
356,Malachi Flynn,$2.048.040,$2.233.587
357,DeMarcus Cousins,$2.038.942,$2.223.664
358,Cam Thomas,$2.036.280,$2.220.762
359,Desmond Bane,$2.033.160,$2.217.359
360,Jaden Springer,$2.023.680,$2.207.020
361,Day'Ron Sharpe,$2.009.160,$2.191.185
362,Abdel Nader,$2.000.000,$2.181.195
362,Kenrich Williams,$2.000.000,$2.181.195
362,Theo Maledon,$2.000.000,$2.181.195
362,Jeremiah Robinson-Earl,$2.000.000,$2.181.195
362,Jordan McLaughlin,$2.000.000,$2.181.195
362,Garrison Mathews,$2.000.000,$2.181.195
368,Santiago Aldama,$1.994.520,$2.175.218
369,Damian Jones,$1.977.011,$2.156.123
370,Wesley Matthews,$1.958.495,$2.135.929
371,Rodney McGruder,$1.939.350,$2.115.050
371,Timothe Luwawu,$1.939.350,$2.115.050
373,Moses Brown,$1.933.909,$2.109.116
374,Wesley Iwundu,$1.926.834,$2.101.400
375,Jose Alvarado,$1.925.406,$2.099.843
376,PJ Dozier,$1.910.860,$2.083.979
376,Damion Lee,$1.910.860,$2.083.979
378,Killian Tillie,$1.901.625,$2.073.907
379,Tyrell Terry,$1.869.438,$2.038.804
380,Larry Sanders,$1.865.546,$2.034.559
381,Carsen Edwards,$1.859.365,$2.027.818
382,Shake Milton,$1.846.738,$2.014.047
383,Mitchell Robinson,$1.802.057,$1.965.319
383,Jalen Brunson,$1.802.057,$1.965.319
385,Dennis Smith,$1.789.256,$1.951.358
385,Malik Monk,$1.789.256,$1.951.358
385,Semi Ojeleye,$1.789.256,$1.951.358
385,Frank Ntilikina,$1.789.256,$1.951.358
385,Tony Bradley,$1.789.256,$1.951.358
390,Didi Louzada,$1.786.878,$1.948.764
391,Daniel Gafford,$1.782.621,$1.944.122
391,Eric Paschall,$1.782.621,$1.944.122
391,KZ Okpala,$1.782.621,$1.944.122
391,Luguentz Dort,$1.782.621,$1.944.122
391,Isaiah Roby,$1.782.621,$1.944.122
391,Naz Reid,$1.782.621,$1.944.122
391,Jaylen Nowell,$1.782.621,$1.944.122
391,Terance Mann,$1.782.621,$1.944.122
391,Bruno Fernando,$1.782.621,$1.944.122
391,Kevin Porter,$1.782.621,$1.944.122
391,Vlatko Cancar,$1.782.621,$1.944.122
391,Dean Wade,$1.782.621,$1.944.122
391,Cody Martin,$1.782.621,$1.944.122
391,Jalen McDaniels,$1.782.621,$1.944.122
391,Nicolas Claxton,$1.782.621,$1.944.122
406,Yuta Watanabe,$1.762.796,$1.922.501
406,Chimezie Metu,$1.762.796,$1.922.501
408,Armoni Brooks,$1.739.065,$1.896.619
409,Isaac Bonga,$1.729.217,$1.885.879
409,Sviatoslav Mykhailiuk,$1.729.217,$1.885.879
409,Keita Bates-Diop,$1.729.217,$1.885.879
409,Moritz Wagner,$1.729.217,$1.885.879
409,Thanasis Antetokounmpo,$1.729.217,$1.885.879
409,Isaiah Hartenstein,$1.729.217,$1.885.879
415,Oshae Brissett,$1.701.593,$1.855.753
415,Juan Toscano-Anderson,$1.701.593,$1.855.753
417,Herb Jones,$1.700.000,$1.854.015
418,Gabriel Deck,$1.690.507,$1.843.662
419,Gabe Vincent,$1.669.178,$1.820.401
419,Max Strus,$1.669.178,$1.820.401
419,Gary Payton II,$1.669.178,$1.820.401
419,Javonte Green,$1.669.178,$1.820.401
419,Matt Thomas,$1.669.178,$1.820.401
424,Robert Woodard,$1.619.015,$1.765.693
425,Lance Stephenson,$1.614.825,$1.761.124
426,Daniel Oturu,$1.603.559,$1.748.837
426,Deividas Sirvydis,$1.603.559,$1.748.837
428,Kevin Pangos,$1.569.178,$1.711.341
429,Bismack Biyombo,$1.518.213,$1.655.759
430,Vernon Carey,$1.517.981,$1.655.506
430,Anthony Gill,$1.517.981,$1.655.506
430,Tre Jones,$1.517.981,$1.655.506
430,Jahmi'us Ramsey,$1.517.981,$1.655.506
430,Elijah Hughes,$1.517.981,$1.655.506
430,CJ Elleby,$1.517.981,$1.655.506
430,Isaiah Joe,$1.517.981,$1.655.506
430,Paul Reed,$1.517.981,$1.655.506
430,Naji Marshall,$1.517.981,$1.655.506
430,Jordan Nwora,$1.517.981,$1.655.506
430,Xavier Tillman,$1.517.981,$1.655.506
430,Sam Merrill,$1.517.981,$1.655.506
430,Jae'Sean Tate,$1.517.981,$1.655.506
430,KJ Martin,$1.517.981,$1.655.506
430,Lamar Stevens,$1.517.981,$1.655.506
430,Nick Richards,$1.517.981,$1.655.506
446,Isaiah Todd,$1.500.000,$1.635.896
447,Omer Yurtseven,$1.489.065,$1.623.970
447,Saben Lee,$1.489.065,$1.623.970
449,JR Smith,$1.456.667,$1.588.637
450,Stanley Johnson,$1.368.998,$1.493.025
451,Duane Washington Jr,$1.346.676,$1.468.681
452,Aaron Wiggins,$1.305.761,$1.424.059
453,Marquese Chriss,$1.292.900,$1.410.033
454,JT Thor,$1.250.000,$1.363.246
455,DeMarre Carroll,$1.242.340,$1.354.892
456,Jabari Parker,$1.168.286,$1.274.129
457,Alfonzo McKinnie,$1.090.007,$1.188.758
458,Zhaire Smith,$1.068.200,$1.164.976
459,Jason Preston,$1.062.303,$1.158.545
460,Isaiah Livers,$1.057.260,$1.153.045
461,Denzel Valentine,$1.005.633,$1.096.740
462,Alize Johnson,$1.003.740,$1.094.675
463,Kyle Singler,$999,$1.089.725
464,Kelan Martin,$994,$1.083.792
465,Miye Oni,$946,$1.031.989
466,Jared Butler,$925,$1.009.084
466,Dalano Banton,$925,$1.009.084
466,Jock Landale,$925,$1.009.084
466,Greg Brown,$925,$1.009.084
466,Charles Bassey,$925,$1.009.084
466,Vit Krejci,$925,$1.009.084
466,Miles McBride,$925,$1.009.084
466,Austin Reaves,$925,$1.009.084
466,BJ Boston,$925,$1.009.084
466,Luka Garza,$925,$1.009.084
466,Marko Simonovic,$925,$1.009.084
466,Ayo Dosunmu,$925,$1.009.084
478,Daishen Nix,$923,$1.006.706
479,Isaiah Thomas,$911,$993
480,Terry Taylor,$895,$976
481,Mamadi Diakite,$869,$948
482,Caleb Martin,$844,$920
483,Brad Wanamaker,$815,$889
484,Luke Kornet,$812,$886
485,Wayne Selden,$812,$886
486,Gary Clark,$811,$885
487,Ryan Arcidiacono,$775,$845
488,Trendon Watford,$769,$838
489,Patrick Patterson,$737,$804
490,Devontae Cacok,$726,$792
491,Admiral Schofield,$724,$789
492,Ishmail Wainright,$708,$772
493,Shaun Livingston,$667,$727
494,Malik Fitts,$631,$688
495,Sam Hauser,$619,$676
496,Greg Monroe,$613,$668
497,Amir Coffey,$574,$626
498,Joe Wieskamp,$564,$615
499,Keifer Sykes,$558,$609
500,Haywood Highsmith,$548,$597
501,Nik Stauskas,$535,$583
502,Davon Reed,$532,$581
503,Wenyen Gabriel,$522,$569
504,Skylar Mays,$511,$557
505,Georgios Kalaitzakis,$500,$545
506,RJ Nembhard,$492,$536
507,Chris Silva,$480,$523
508,Trent Forrest,$463,$505
508,Kessler Edwards,$463,$505
510,Cassius Winston,$463,$505
510,Joel Ayayi,$463,$505
510,Justin Champagnie,$463,$505
510,David Johnson,$463,$505
510,Neemias Queta,$463,$505
510,Keljin Blevins,$463,$505
510,Ignas Brazdeikis,$463,$505
510,Jericho Sims,$463,$505
510,Nathan Knight,$463,$505
510,McKinley Wright,$463,$505
510,Sandro Mamukelashvili,$463,$505
510,Yves Pons,$463,$505
510,Jay Scrubb,$463,$505
510,Chris Chiozza,$463,$505
510,Sean Chris Smith,$463,$505
510,Jamorko Pickett,$463,$505
510,Markus Howard,$463,$505
510,Tyler Cook,$463,$505
510,Arnoldas Kulboka,$463,$505
510,Scottie Lewis,$463,$505
510,David Duke,$463,$505
510,Brodric Thomas,$463,$505
510,Sharife Cooper,$463,$505
533,Justin Anderson,$446,$486
534,Theo Pinson,$441,$481
535,Charlie Brown,$431,$470
536,James Ennis,$386,$421
536,Tim Frazier,$386,$421
536,Langston Galloway,$386,$421
539,Kyle Guy,$383,$418
540,Sam Dekker,$350,$382
541,Quinndary Weatherspoon,$346,$378
542,Brandon Goodwin,$344,$375
543,Malcolm Hill,$324,$354
544,Louis King,$316,$345
545,DJ Wilson,$308,$336
545,Shaquille Harrison,$308,$336
545,Justin Jackson,$308,$336
548,Jeff Dowtin,$306,$333
549,Paul Watson,$303,$331
549,Trevelin Queen,$303,$331
551,Myles Powell,$300,$328
552,Jontay Porter,$300,$327
553,Mason Jones,$295,$322
554,Eugene Omoruyi,$282,$307
555,Brandon Knight,$275,$300
556,Justin Robinson,$266,$290
557,Ja'Vonte Smart,$266,$290
558,Mychal Mulder,$258,$281
559,Tyler Johnson,$257,$281
560,Zylan Cheatham,$257,$280
560,Cassius Stanley,$257,$280
562,Devon Dotson,$239,$261
563,Marcus Garrett,$237,$258
564,Lindell Wigginton,$234,$255
565,Jay Huff,$226,$246
566,Olivier Sarr,$223,$244
567,Aaron Henry,$223,$244
568,Freddie Gillespie,$221,$241
569,JaQuori McLaughlin,$221,$241
570,Rayjon Tucker,$221,$241
571,Petr Cornelie,$218,$238
571,Tacko Fall,$218,$238
573,Juwan Morgan,$211,$230
574,Damyean Dotson,$206,$224
575,Xavier Moon,$202,$220
576,Tyrone Wallace,$199,$217
577,Tremont Waters,$192,$209
577,Jaylen Hoard,$192,$209
577,Norvel Pelle,$192,$209
580,Reggie Perry,$188,$205
581,Devin Cannady,$186,$202
582,Brandon Williams,$181,$197
583,DeJon Jarreau,$173,$188
583,Moses Wright,$173,$188
585,Matt Mooney,$171,$187
585,Dakota Mathias,$171,$187
587,Daulton Hommes,$168,$183
588,Grant Riller,$162,$177
589,Lindy Waters III,$160,$174
590,Anthony Tolliver,$152,$166
590,Darren Collison,$152,$166
590,Ersan Ilyasova,$152,$166
590,Joe Johnson,$152,$166
590,CJ Miles,$152,$166
595,Chaundee Brown,$152,$165
596,Xavier Sneed,$146,$159
597,Mario Chalmers,$138,$151
598,Anthony Lamb,$136,$148
599,Braxton Key,$128,$139
600,Troy Williams,$123,$134
601,Feron Hunt,$117,$128
602,Mac McClung,$112,$122
603,Matt Ryan,$112,$122
604,Emmanuel Mudiay,$111,$122
605,Carlik Jones,$106,$116
605,Paris Bass,$106,$116
605,Hassani Gravett,$106,$116
608,Cheick Diallo,$103,$112
608,Jordan Bell,$103,$112
610,DJ Stewart,$101,$110
611,Nate Hinton,$96,$105
612,Jaylen Morris,$96,$105
612,BJ Johnson,$96,$105
612,Scotty Hopson,$96,$105
612,Justin James,$96,$105
612,DaQuan Jeffries,$96,$105
612,Derrick Walton,$96,$105
618,Demetrius Jackson,$93,$101
619,Emanuel Terry,$86,$93
619,Jemerrio Jones,$86,$93
619,George King,$86,$93
619,Malik Newman,$86,$93
619,Chris Clemons,$86,$93
619,Cameron Oliver,$86,$93
625,Jared Harper,$85,$93
626,Gabriel Lundberg,$80,$87
627,Jaime Echenique,$53,$58
627,Craig Sword,$53,$58
627,Jordan Goodwin,$53,$58
627,Jordan Schakel,$53,$58
627,Ade Murkey,$53,$58
627,Jarron Cumberland,$53,$58
627,Cameron McGriff,$53,$58
627,MJ Walker,$53,$58
627,Aleem Ford,$53,$58
627,Rob Edwards,$53,$58
627,Tyler Hall,$53,$58
627,Javin DeLaurier,$53,$58
627,Aric Holman,$53,$58
627,Jon Teske,$53,$58
627,Shaq Buchanan,$53,$58
627,Ahmad Caver,$53,$58
627,Jaysean Paige,$53,$58
627,Micah Potter,$53,$58
627,Trayvon Palmer,$53,$58
627,Tre Scott,$53,$58
627,Justin Tillman,$53,$58
627,Malik Ellison,$53,$58
627,Anthony Barber,$53,$58
650,Luca Vildoza,$43,$47
651,Zavier Simpson,$37,$41
652,Mfiondu Kabengele,$19,$21
653,Melvin Frazier,$13,