Player,Pos,Age,Type,FROM,TO,Years,Value,Ave Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_1,MP_0,MP_1,MP_2
Bradley Beal,SG,29.0>,UFA,WAS,WAS,5,"$251,019,650 ","$50,203,930 ","$251,019,650 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1,2.9,2.5,0.8,3.4,2.9
Zach LaVine,SG,27.2>,UFA,CHI,CHI,5,"$215,159,700 ","$43,031,940 ","$215,159,700 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,2.6,3.1,2.4,2.4,4,2.5
Deandre Ayton,C,23.9>,RFA,PHX,PHX,4,"$132,929,128 ","$33,232,282 ","$132,929,128 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,2.1,1.7,0.7,2.8,1.2,0.4
Jalen Brunson,PG,25.8>,UFA,DAL,NYK,4,"$104,000,000 ","$26,000,000 ","$104,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.9,1.2,0.3,0.9,0.9,-0.9
Anfernee Simons,SG,23.0>,RFA,POR,POR,4,"$100,000,000 ","$25,000,000 ","$100,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.5,0.3,-0.9,-0.7,-1,-4.5
Luguentz Dort,SG,23.2>,RFA,OKC,OKC,5,"$82,500,000 ","$16,500,000 ","$82,500,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.6,-0.4,-2.3,-3.5,-3.7
Collin Sexton,PG,23.6>,RFA,CLE,UTH,4,"$70,950,000 ","$17,737,500 ","$72,950,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.2,1,0.1,-4.1,-0.2,-1.8
Jusuf Nurkic,C,27.8>,UFA,POR,POR,4,"$70,000,000 ","$17,500,000 ","$70,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.9,1,0,0.3,2.5,0
James Harden,SG,32.9>,UFA,PHI,PHI,2,"$68,640,000 ","$34,320,000 ","$68,640,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,3.7,3.7,7.3,4,7.2,9.6
Mitchell Robinson,C,24.2>,UFA,NYK,NYK,4,"$60,000,000 ","$15,000,000 ","$60,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,2,0.7,1.8,2.2,1.2,2.9
Bobby Portis,PF,27.3>,UFA,MIL,MIL,4,"$48,578,208 ","$12,144,552 ","$48,578,208 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.1,1.2,0.3,0.2,1.5,-1.1
Marvin Bagley III,PF,23.2>,RFA,DET,DET,3,"$37,500,000 ","$12,500,000 ","$37,500,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.3,-0.1,-2.3,-3.1,-3.5
Chris Boucher,PF,29.4>,UFA,TOR,TOR,3,"$35,250,000 ","$11,750,000 ","$35,250,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.9,2,0.8,0,3.3,2
P.J. Tucker,PF,37.2>,UFA,MIA,PHI,3,"$33,043,500 ","$11,014,500 ","$33,043,500 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.3,-0.7,0.1,0.6,-4.1,-1.9
Cody Martin,SF,26.8>,RFA,CHA,CHA,4,"$31,360,000 ","$7,840,000 ","$31,360,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.7,0,0,-0.5,-2,-2.1
Tyus Jones,PG,26.1>,UFA,MEM,MEM,2,"$29,000,000 ","$14,500,000 ","$30,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.4,0.9,0.8,1.7,0.8,0.6
Gary Payton II,PG,29.6>,UFA,GSW,POR,3,"$26,145,000 ","$8,715,000 ","$26,145,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.8,0.1,0,3.7,9.2,-1.6
Nicolas Batum,SF,33.5>,UFA,LAC,LAC,2,"$22,554,168 ","$11,277,084 ","$22,554,168 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.6,1.9,0,2.3,2.1,-1.9
Kevon Looney,PF,26.4>,UFA,GSW,GSW,3,"$22,500,000 ","$7,500,000 ","$25,500,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.3,0.3,-0.2,0.9,-0.9,-5.6
Jae’Sean Tate,SF,26.7>,RFA,HOU,HOU,3,"$20,630,434 ","$6,876,811 ","$22,130,434 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.1,0.3,0,-1.8,-1.4,0
Mo Bamba,C,24.1>,UFA,ORL,ORL,2,"$20,600,000 ","$10,300,000 ","$20,600,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.2,0.4,0.5,0.7,0.1,0.4
Caleb Martin,SF,26.8>,RFA,MIA,MIA,3,"$20,408,850 ","$6,802,950 ","$20,408,850 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.1,-0.3,0.1,1.1,-3.4,-1
Malik Monk,SG,24.4>,UFA,LAL,SAC,2,"$19,418,049 ","$9,709,025 ","$19,418,049 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.8,0,-0.1,-0.5,-1.8,-2.3
Ricky Rubio,PG,31.7>,UFA,IND,CLE,3,"$18,439,026 ","$6,146,342 ","$18,439,026 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.5,0,1.5,0.2,-1.9,1
Victor Oladipo,SG,30.2>,UFA,MIA,MIA,2,"$18,200,000 ","$9,100,000 ","$18,200,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.1,-0.2,1.3,-1.7,-3.3
Kyle Anderson,SF,28.8>,UFA,MEM,MIN,2,"$18,000,000 ","$9,000,000 ","$18,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.2,2.5,0.9,1.2,3.3,0.5
Nicolas Claxton,PF,23.2>,RFA,BKN,BKN,2,"$17,250,000 ","$8,625,000 ","$17,250,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.6,0.4,0.1,0.5,0.4,-0.7
JaVale McGee,C,34.4>,UFA,PHX,DAL,3,"$17,202,840 ","$5,734,280 ","$17,202,840 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.8,-0.1,1,0.8,-2.5,1.5
Isaiah Hartenstein,C,24.2>,UFA,LAC,NYK,2,"$16,000,000 ","$8,000,000 ","$18,100,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,2,0.2,0.2,4.5,-0.9,0.3
Delon Wright,PG,30.2>,UFA,ATL,WAS,2,"$16,000,000 ","$8,000,000 ","$16,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.6,1.8,1.5,2.2,2.2,1.9
Jalen Smith,PF,22.2>,UFA,IND,IND,3,"$15,131,319 ","$5,043,773 ","$15,131,319 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.3,-0.2,0,-0.5,-6.1,0
Danilo Gallinari,PF,33.9>,UFA,SAS,BOS,2,"$13,281,950 ","$6,640,975 ","$13,281,950 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.8,1,2.4,-0.2,1.1,3.3
Patty Mills,PG,33.8>,UFA,BKN,BKN,2,"$13,281,950 ","$6,640,975 ","$14,489,402 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0.4,0.8,-1.7,-1.2,0
John Wall,PG,31.8>,UFA,HOU,LAC,2,"$13,281,950 ","$6,640,975 ","$13,281,950 ",2022 ,2021 ,2020 ,0 ,1 ,0 ,0,0.4,0,0,-0.7,0
Bruce Brown Jr.,SG,25.8>,UFA,BKN,DEN,2,"$13,281,950 ","$6,640,975 ","$13,281,950 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.2,0.7,0.3,0.7,-0.1,-1.2
Otto Porter Jr.,SF,29.1>,UFA,GSW,TOR,2,"$12,300,000 ","$6,150,000 ","$12,300,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.8,0.3,0.3,3.1,0,1
Amir Coffey,SG,25.0>,RFA,LAC,LAC,3,"$11,000,000 ","$3,666,667 ","$11,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.7,0,-0.1,-0.3,-2,-4.1
Donte DiVincenzo,SG,25.4>,UFA,SAC,GSW,2,"$9,225,000 ","$4,612,500 ","$9,225,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,1,1.3,-2.3,0.3,1.3
Dewayne Dedmon,C,32.8>,UFA,MIA,MIA,2,"$9,024,000 ","$4,512,000 ","$9,024,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.2,-0.7,-1,1.7,-5.8
Danuel House Jr.,SF,29.0>,UFA,UTH,PHI,2,"$8,415,250 ","$4,207,625 ","$8,415,250 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,-0.3,0.6,-1.1,-3.5,-0.7
Mike Muscala,PF,31.1>,UFA,OKC,OKC,2,"$7,000,000 ","$3,500,000 ","$7,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.1,0.3,0.3,5,-0.1,-0.1
Vlatko Cancar,SF,25.2>,RFA,DEN,DEN,3,"$6,815,324 ","$2,271,775 ","$6,815,324 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0,0,-1.7,-2.6,-4.8
Andre Drummond,C,28.8>,UFA,BKN,CHI,2,"$6,560,000 ","$3,280,000 ","$6,560,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,1.2,0.3,1.4,1.3,-1.2,0.9
Derrick Jones Jr.,SF,25.3>,UFA,CHI,CHI,2,"$6,560,000 ","$3,280,000 ","$6,560,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0.2,1,-0.9,-1.4,0.7
Lonnie Walker IV,SG,23.5>,UFA,SAS,LAL,1,"$6,479,000 ","$6,479,000 ","$6,479,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.2,-0.7,-0.4,-2.5,-3.7,-3.5
Joe Ingles,SF,34.8>,UFA,POR,MIL,1,"$6,479,000 ","$6,479,000 ","$6,479,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.5,2.6,1.5,-0.3,3.5,0.7
Kevin Knox,SF,22.9>,UFA,ATL,DET,2,"$6,000,000 ","$3,000,000 ","$6,000,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0.1,-0.7,-4.1,-1.4,-4.2
Jordan Nwora,PF,24.0>,RFA,MIL,MIL,2,"$5,800,000 ","$2,900,000 ","$6,200,000 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.6,0.1,0,-4.1,-1.1,0
Jericho Sims,PF,23.7>,UFA,NYK,NYK,3,"$5,658,206 ","$1,886,069 ","$5,658,206 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-1.7,0,0
Sam Hauser,SF,24.6>,UFA,BOS,BOS,3,"$5,658,206 ","$1,886,069 ","$5,658,206 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0.2,0,0,2.3,0,0
Montrezl Harrell,PF,28.6>,UFA,CHA,PHI,2,"$5,223,516 ","$2,611,758 ","$5,223,516 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,2.4,2,2.2,3.9,3,2.9
Damian Jones,C,27.0>,UFA,SAC,LAL,2,"$4,885,050 ","$2,442,525 ","$4,885,050 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.6,0.1,0.1,0.3,-1.4,-1.5
Luke Kornet,C,26.9>,UFA,BOS,BOS,2,"$4,546,582 ","$2,273,291 ","$4,546,582 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.3,0.1,-0.5,0.8,-1.2
DJ Wilson,PF,26.3>,UFA,TOR,TOR,2,"$4,546,582 ","$2,273,291 ","$4,546,582 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.1,-0.2,5,-3.3,-4
Bol Bol,C,22.6>,UFA,ORL,ORL,2,"$4,400,000 ","$2,200,000 ","$4,400,000 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,-0.1,0,-1,-4.1,-3
Joe Wieskamp,SF,2022.7>,RFA,SAS,SAS,2,"$4,375,000 ","$2,187,500 ","$4,375,000 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.1,0,0,-3.9,0,0
Jevon Carter,PG,26.8>,UFA,MIL,MIL,2,"$4,339,943 ","$2,169,972 ","$4,339,943 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0.5,0.6,-2.2,0.5,0.6
KZ Okpala,SF,23.3>,UFA,OKC,SAC,2,"$3,968,718 ","$1,984,359 ","$3,968,718 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.6,0,-2.8,-7.1,2.4
Davon Reed,SG,27.0>,RFA,DEN,DEN,2,"$3,968,718 ","$1,984,359 ","$3,968,718 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0.3,0,0,-0.3,0,0
Nathan Knight,PF,24.8>,RFA,MIN,MIN,2,"$3,833,328 ","$1,916,664 ","$3,833,328 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.1,-0.1,0,-0.6,-3.7,0
Anthony Gill,PF,29.7>,RFA,WAS,WAS,2,"$3,833,328 ","$1,916,664 ","$3,833,328 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0,0,-1.9,-1.3,0
Justin Champagnie,F,21.0>,RFA,TOR,TOR,2,"$3,565,862 ","$1,782,931 ","$3,565,862 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-2,0,0
Kessler Edwards,SF,21.8>,UFA,BKN,BKN,2,"$3,565,862 ","$1,782,931 ","$3,565,862 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.5,0,0,-3.8,0,0
Blake Griffin,PF,33.5>,UFA,BKN,BOS,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.3,-0.3,-0.5,-0.8,-4.3
Andre Iguodala,SF,38.6>,UFA,GSW,GSW,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.7,0.5,0.2,2.7,-0.4,-0.5
Udonis Haslem,PF,42.2>,UFA,MIA,MIA,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0,-0.1,-7.1,31.1,-7.4
Goran Dragic,PG,36.2>,UFA,BKN,CHI,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.2,-0.1,0.8,-3.3,-2.3,-0.1
Austin Rivers,PG,29.9>,UFA,DEN,MIN,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.7,0,-0.2,-3.8,-1.9,-2.5
Taj Gibson,PF,37.0>,UFA,NYK,WAS,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.8,0.2,-2,1.3,-1.1
Serge Ibaka,C,32.8>,UFA,MIL,MIL,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.8,0.8,-1.5,1.4,0.1
DeAndre Jordan,C,33.9>,UFA,PHI,DEN,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.9,1.5,-1.4,1,3
Robin Lopez,C,34.2>,UFA,ORL,CLE,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0.4,-0.2,-3.8,-1,-2.6
Wesley Matthews,SG,35.7>,UFA,MIL,MIL,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0.1,0.1,-3.3,-1.7,-1.8
Bismack Biyombo,C,29.8>,UFA,PHX,PHX,1,"$2,905,851 ","$2,905,851 ","$2,905,851 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.4,-0.1,-1.3,-3,-2.5
Dennis Schröder,PG,29.0>,UFA,HOU,LAL,1,"$2,641,682 ","$2,641,682 ","$2,641,682 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.4,1,-1.9,-1.2,-0.1
Gorgui Dieng,C,32.5>,UFA,ATL,SAS,1,"$2,641,682 ","$2,641,682 ","$2,641,682 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.4,0.7,1,2.1,3.4,1.5
JaMychal Green,PF,32.1>,UFA,OKC,GSW,1,"$2,628,597 ","$2,628,597 ","$2,628,597 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.1,0.5,-1.8,-1.5,-0.5
Matthew Dellavedova,PG,31.8>,UFA,CLE,SAC,1,"$2,628,597 ","$2,628,597 ","$2,628,597 ",2022 ,2021 ,2020 ,0 ,1 ,1 ,0,-0.3,-0.7,0,-6.4,-5.2
T.J. Warren,SF,28.8>,UFA,IND,BKN,1,"$2,628,597 ","$2,628,597 ","$2,628,597 ",2022 ,2021 ,2020 ,0 ,1 ,1 ,0,-0.1,1.7,0,-5.5,1.1
Frank Kaminsky,C,29.2>,UFA,PHX,ATL,1,"$2,463,490 ","$2,463,490 ","$2,463,490 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.6,0.3,4.9,1.3,-0.5
Raul Neto,PG,30.1>,UFA,WAS,CLE,1,"$2,463,490 ","$2,463,490 ","$2,463,490 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.5,0,-2.9,-0.6,-1.8
Jake Layman,SF,28.5>,UFA,MIN,BOS,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0,-0.2,-3.9,-2.1,-3.7
Rodney McGruder,SG,31.0>,UFA,DET,DET,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.1,-0.2,-1.4,0.7,-3
Juancho Hernangomez,PF,26.8>,UFA,UTH,TOR,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,-0.2,-0.3,-0.6,-2.9,-3.4
Bryn Forbes,SG,28.9>,UFA,DEN,MIN,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0.2,-0.3,-2.9,-1.3,-2.7
Frank Jackson,PG,24.3>,UFA,DET,PHX,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.1,-0.7,-3.5,-1.7,-5.5
Ryan Arcidiacono,PG,28.4>,UFA,NYK,NYK,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0,-0.2,-4.6,-2.3,-2.8
Josh Jackson,SG,25.5>,UFA,SAC,TOR,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.5,-0.4,0.2,-4.5,-3,0.1
Thomas Bryant,C,24.9>,UFA,WAS,LAL,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.2,1.2,-1,0.9,2.2
Damion Lee,SG,29.7>,UFA,GSW,PHX,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.6,-0.1,-2,0.2,-2.3
Troy Brown Jr.,SF,22.9>,UFA,CHI,LAL,1,"$1,968,185 ","$1,968,185 ","$1,968,185 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.3,0.3,-1.8,-4,-1.2
Chris Chiozza,PG,26.8>,UFA,GSW,BKN,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.1,0.1,-6,-0.7,-1.2
Yuta Watanabe,SF,27.8>,UFA,TOR,BKN,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.2,0,-2,-0.7,-1.7
Drew Eubanks,PF,25.4>,UFA,POR,POR,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0.4,0,-1.4,0,-1.8
Aaron Holiday,PG,25.8>,UFA,PHX,ATL,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.7,0.2,-1.7,-4.2,-1.6
Theo Pinson,SG,26.7>,RFA,DAL,DAL,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,-0.1,-0.5,-0.5,-15.7,-7
Josh Okogie,SF,23.8>,UFA,MIN,PHX,1,"$1,968,175 ","$1,968,175 ","$1,968,175 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.4,-0.2,-2.7,-3.3,-2.4
Tyler Cook,PF,25.0>,UFA,CHI,UTH,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.1,0,-4.1,-3,-0.2
Mychal Mulder,G,28.2>,UFA,MIA,MIA,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0,-0.2,-7.7,-1.8,-6
Devontae Cacok,C,25.8>,UFA,SAS,POR,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,0,0,4.2,-1,0.2
Moses Brown,C,22.7>,UFA,CLE,LAC,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,-0.1,-0.1,-3.3,-2.4,-10
Rayjon Tucker,SF,24.8>,UFA,MIL,MIL,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0,-0.2,3.5,-3.4,-6.1
Juan Toscano-Anderson,SF,29.2>,UFA,GSW,LAL,1,"$1,902,133 ","$1,902,133 ","$1,902,133 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.8,-0.1,-0.8,0.8,-3.6
Facundo Campazzo,PG,31.5>,UFA,DEN,DAL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0.4,0.5,0,-0.8,-0.6,0
Elijah Hughes,SF,24.6>,UFA,POR,MIL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.5,0,0,-6.9,-2.8,0
Skylar Mays,SG,25.1>,UFA,ATL,PHI,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0.3,0,-2,1.9,0
Jay Scrubb,SG,22.1>,UFA,LAC,ORL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.1,-0.2,0,-4.8,-10.9,0
Malik Fitts,PF,25.2>,UFA,IND,LAC,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0,0,-1.1,-9.1,0
Anthony Lamb,SF,24.7>,UFA,HOU,GSW,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,-0.4,0,-8,-6.1,0
Robert Woodard II,SG,23.0>,UFA,SAS,OKC,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-0.1,0,0,-10.4,-5.3,0
Brodric Thomas,G,2022.8>,RFA,BOS,BOS,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,-0.2,0,-2.8,-4.4,0
Nate Hinton,SG,23.2>,UFA,IND,CLE,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,0,0,0,-42.6,-3.4,0
CJ Elleby,SF,22.1>,UFA,POR,MIN,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,1 ,1 ,0 ,-1,-0.1,0,-5.3,-4.9,0
Luca Vildoza,PG,26.8>,UFA,MIL,MIL,1,"$1,836,090 ","$1,836,090 ","$1,836,090 ",2022 ,2021 ,2020 ,0 ,0 ,0 ,0,0,0,0,0,0
David Johnson,PG,21.6>,RFA,TOR,TOR,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-27.7,0,0
Matt Ryan,SF,25.4>,UFA,BOS,LAL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-13.7,0,0
Sharife Cooper,PG,21.2>,RFA,ATL,CLE,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.1,0,0,-16.3,0,0
Gabe York,SG,29.1>,UFA,IND,IND,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-1.5,0,0
Jamorko Pickett,SF,24.7>,UFA,DET,CLE,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.1,0,0,-5,0,0
McKinley Wright IV,PG,23.8>,UFA,MIN,DAL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0,0,0,-4.2,0,0
Xavier Moon,SG,27.5>,UFA,LAC,LAC,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,0.1,0,0,-0.1,0,0
Lindell Wigginton,SG,24.2>,UFA,MIL,MIL,1,"$1,637,966 ","$1,637,966 ","$1,637,966 ",2022 ,2021 ,2020 ,1 ,0 ,0 ,-0.2,0,0,-5,0,0